epoch,accuracy,loss,val_accuracy,val_loss
0,0.3257515,1.7680045290922413,0.4246308207511902,1.5826831719575736
1,0.43174616,1.5108115788105534,0.4416272044181824,1.5248084267257282
2,0.4765753,1.3917354012844458,0.4519364833831787,1.4837484540763954
3,0.50966597,1.3124739135244705,0.5012538433074951,1.318711702821646
4,0.52290225,1.2717782102569093,0.4951239824295044,1.3542076868411723
5,0.5425128,1.2285517371183752,0.5516856908798218,1.2233909091168242
6,0.5508029,1.203309283584897,0.5238227844238281,1.306703707407231
7,0.5602424,1.1754309995935364,0.5650599002838135,1.1827302855613604
8,0.56846285,1.1569734988381501,0.5310671329498291,1.2441046132653428
9,0.57201576,1.143417132669384,0.568682074546814,1.1516051200081228
10,0.5771709,1.1273953362382223,0.5544719696044922,1.202949601283941
11,0.58117664,1.1192213550473153,0.5703538656234741,1.1872878667869153
12,0.5878296,1.1032369051313793,0.5494566559791565,1.1954237423457286
13,0.58971053,1.0962193789180326,0.5600445866584778,1.2430670330138485
14,0.5945174,1.0872837281110017,0.5731401443481445,1.1746117758797416
15,0.62088543,1.0207699331487665,0.6057397723197937,1.062422033504179
16,0.6290362,1.0066093955818458,0.6021175980567932,1.0541906079464751
17,0.6285834,0.9960293186766015,0.6082473993301392,1.055446930468398
18,0.63384306,0.9889896867948663,0.6088047027587891,1.0512258485021881
19,0.6325194,0.9902270607882032,0.6088047027587891,1.050150687430821
20,0.6332509,0.9859439351307967,0.6104764342308044,1.0533472237463415
21,0.6348532,0.9863841511612007,0.6140986084938049,1.0347425435106878
22,0.6338779,0.9791856604690582,0.607690155506134,1.049226584391994
23,0.6364903,0.9796443194729136,0.6118695735931396,1.0422650765960813
24,0.6385106,0.9724826339046145,0.607968807220459,1.0375522751600903
25,0.6380926,0.9718826856768955,0.6121482253074646,1.0372157920267164
26,0.6399735,0.9643313250964727,0.6179994344711304,1.0423802902320527
27,0.6451287,0.9599887403501247,0.6157703995704651,1.0357287349924134
28,0.6426208,0.9593055320469546,0.6118695735931396,1.0324161501773124
29,0.6443972,0.953031490823975,0.6143772602081299,1.0326978013720742
30,0.64457136,0.9579585352604689,0.6143772602081299,1.03229365283382
31,0.6468703,0.9542120272074587,0.61604905128479,1.0304466388490612
32,0.6472883,0.955164901124567,0.6154918074607849,1.0313267244805064
33,0.64195895,0.9588332358952613,0.6143772602081299,1.0298499213715855
34,0.64293426,0.9560971503968382,0.6118695735931396,1.0298483665688982
35,0.64234215,0.9557351789764652,0.6127054691314697,1.0297475213890257
36,0.6423073,0.9591467141349378,0.6143772602081299,1.0300794726263085
37,0.6469051,0.9506866875111386,0.6124268770217896,1.029805339422356
38,0.64603436,0.954902633122007,0.6118695735931396,1.0318162221037004
39,0.6453725,0.9480587080660324,0.6124268770217896,1.0305759119236824
40,0.64561635,0.951247822574415,0.6143772602081299,1.0308393806625986
41,0.6472883,0.9479838086979164,0.6135413646697998,1.0304820363519582
42,0.64669615,0.9504754494223883,0.6143772602081299,1.0291501848968034
43,0.6464175,0.9532336689070635,0.6146559119224548,1.0305395006103812
44,0.6468703,0.9494315470494905,0.614934504032135,1.0297551556661888
45,0.64819396,0.949605108845873,0.6132627725601196,1.0299679190044981
46,0.6437006,0.9523455156291382,0.6140986084938049,1.0297954577395232
47,0.6442927,0.9522934560471141,0.6138200163841248,1.029384894701856
48,0.646522,0.9500938212407736,0.6138200163841248,1.0302730214798408
49,0.6473928,0.9492977106640541,0.6129841208457947,1.0294669019574738
50,0.6474625,0.9480769878279358,0.6127054691314697,1.0287966632882877
51,0.6440489,0.9529394429531162,0.6132627725601196,1.0304749649060607
52,0.647985,0.9532158837854403,0.6124268770217896,1.029791461919868
53,0.6448849,0.9526106363271462,0.6129841208457947,1.0302671976958386
54,0.6453029,0.9523241260614866,0.6118695735931396,1.0299656280537242
55,0.6448152,0.9532810749606182,0.6135413646697998,1.0301547180679589
56,0.64613885,0.9565759073783164,0.6132627725601196,1.0299821301202783
57,0.65077156,0.9505313639356955,0.6132627725601196,1.0296979769586885
58,0.6448501,0.9524449704852638,0.6140986084938049,1.030874215516914
59,0.647567,0.9533973657880159,0.6132627725601196,1.0303889243640618
60,0.651294,0.9485132009431467,0.6132627725601196,1.0305642009478952
61,0.6458253,0.9551457111591074,0.6132627725601196,1.0305263622121315
62,0.6467658,0.9548817143602519,0.6124268770217896,1.0294849480317807
63,0.646522,0.955564271287155,0.6127054691314697,1.0295237257607504
64,0.6489254,0.9484332932059454,0.6140986084938049,1.0297799226001432
65,0.6466265,0.9532626778797743,0.6132627725601196,1.0299258251381505
66,0.64558154,0.9525605412236102,0.6129841208457947,1.0297002128386903
67,0.64349157,0.9534439933873455,0.6140986084938049,1.0304943145434151
68,0.64244664,0.9549721065054717,0.6138200163841248,1.0297153593272212
69,0.6458602,0.9519412378029264,0.6124268770217896,1.029296645881672
70,0.64366573,0.9530508300055489,0.6138200163841248,1.029723567064508
