epoch,age_output_accuracy,age_output_loss,gender_output_accuracy,gender_output_loss,loss,val_age_output_accuracy,val_age_output_loss,val_gender_output_accuracy,val_gender_output_loss,val_loss
0,0.037052393,3.9129758,0.8208916,0.3980875,4.311122543902098,0.03415670245885849,3.942135810852051,0.8636932373046875,0.3254196345806122,4.267760998549784
1,0.045511745,3.7430017,0.878165,0.29745933,4.040490188215445,0.045939892530441284,3.7584571838378906,0.8775421380996704,0.3019796311855316,4.060609534137003
2,0.052305408,3.660028,0.88802814,0.27935985,3.9394029655486094,0.04855837672948837,3.6982476711273193,0.8875214457511902,0.2809605300426483,3.9794751952980607
3,0.057913456,3.6051025,0.893498,0.26814908,3.873311309143806,0.047161851078271866,3.6997411251068115,0.89351487159729,0.27239787578582764,3.9726957068701756
4,0.06140485,3.5632463,0.89673483,0.26136428,3.8246696963686806,0.043961480259895325,3.7967145442962646,0.8927002549171448,0.2696055769920349,4.066461871165663
5,0.06796575,3.5285113,0.89944065,0.25502747,3.7835662121461686,0.05315527692437172,3.6556236743927,0.8906054496765137,0.27640843391418457,3.932850836361815
6,0.071173474,3.4968665,0.9011791,0.25065002,3.747566896087695,0.05140961706638336,3.643538475036621,0.8939512968063354,0.2737276554107666,3.91794452196656
7,0.07670878,3.4667697,0.902161,0.24687117,3.713671580902035,0.04908207431435585,3.751386880874634,0.888801634311676,0.2780401408672333,4.029746409766054
8,0.08296419,3.4398339,0.9038485,0.24331409,3.6830826894737227,0.05699572339653969,3.5767335891723633,0.8967734575271606,0.26758280396461487,3.8451231454229
9,0.08815764,3.4119446,0.9045759,0.23987064,3.6518441407468125,0.056035611778497696,3.66001558303833,0.8956096768379211,0.2635551393032074,3.923822655127999
10,0.0949513,3.3833272,0.9059725,0.23755257,3.6207628231808995,0.06348375231027603,3.5941569805145264,0.8933694362640381,0.2694672644138336,3.8643383541056124
11,0.10061026,3.3565402,0.9064089,0.23445724,3.5910041722975885,0.05711210146546364,3.653419017791748,0.8897035121917725,0.27350667119026184,3.9272099355688366
12,0.10738211,3.3260124,0.90744174,0.23240955,3.558409695990145,0.0619126595556736,3.634082317352295,0.8922929167747498,0.2711441218852997,3.9059593640548567
13,0.114175774,3.2950513,0.9073763,0.22994864,3.5249442555115835,0.05193331465125084,3.769289493560791,0.8927002549171448,0.2724117338657379,4.042006601554369
14,0.120489374,3.2621188,0.9077691,0.22805595,3.4901498963039446,0.06304733455181122,3.6982717514038086,0.8909545540809631,0.27617865800857544,3.974806566316926
15,0.12834501,3.23343,0.9080091,0.22610034,3.4594750000828554,0.0612143948674202,3.7292227745056152,0.8920310735702515,0.2754124701023102,4.005534784686544
